col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-0.401611,-0.315127,-0.033701,0.564006,-0.0156509,-0.0194588,0.115276,-0.41505,-0.249545,0.536093,0.367061,0.0524403,-0.205461,0.657841
-0.210414,-0.272689,-0.057996,0.574985,-0.134286,0.0516783,0.051733,-0.386456,-0.272909,0.593812,0.38389,0.0505967,-0.341445,0.435249
0.819403,0.217003,-0.108235,-0.11109,0.161876,0.203004,0.565255,-0.00738196,-0.0103448,0.638251,-0.723738,-0.149216,0.596064,-0.171043
-0.460366,-0.253084,-0.021379,0.533286,-0.0405087,-0.0561542,0.122788,-0.411261,0.648549,-0.556023,0.364787,0.0521781,-0.164068,0.724997
-0.304773,-0.278076,-0.0860548,0.654931,-0.205524,0.107572,0.102917,-0.428664,0.196706,0.109363,0.382232,0.0509228,-0.302163,0.57105
1.09123,0.424352,-0.0999353,-0.191471,0.0920902,0.292528,0.619153,0.0459296,-0.10815,0.745726,-0.818127,-0.122553,0.291358,-0.477313
-0.221092,-0.278325,-0.0727389,0.614321,-0.165073,0.0878801,0.100573,-0.429616,-0.241155,0.616988,0.385712,0.0505416,-0.386634,0.471341
0.921605,0.277477,-0.0794975,-0.232019,0.184025,0.181857,0.576465,0.00291629,-0.0342046,0.664227,-0.726873,-0.137833,0.477135,-0.297926
-0.996084,0.387768,0.083754,0.690032,-0.939487,0.251112,-2.24249,1.85982,-1.55229,2.04712,0.372214,0.0954819,2.8659,0.115678
-0.21055,-0.273349,-0.0756411,0.695026,-0.24973,0.163148,0.0985163,-0.433668,-0.179202,0.518002,0.382179,0.0436056,-0.159525,0.752172
1.02729,0.373199,-0.079782,-0.346689,0.11137,0.269365,0.62328,0.0485171,-0.0615891,0.69207,-0.822792,-0.110663,0.368884,-0.404636
0.849824,0.311731,-0.0293373,-1.20286,-0.0108175,0.417138,0.671543,0.0963175,0.0312864,0.590305,-0.927117,-0.0195673,0.63533,-0.123738
1.22473,0.539766,0.0193665,-1.19135,0.0665086,0.34001,0.666461,0.092264,-0.126004,0.770451,-0.862972,-0.0264644,0.184219,-0.58987
